Chapter,Agency,Filed,Caption,AON,Type,id,country,data_source,doc_url
333,"Oregon Health Authority, Public Health Division",09/17/2018 4:05 PM,Reducing lead in school drinking water,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850325
333,"Oregon Health Authority, Public Health Division",09/17/2018 4:43 PM,Allowing electronic versions of immunization forms; modifying vaccine schedules; lowering fees for records,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850329
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",09/18/2018 2:46 PM,Amending Prior Authorization Approval Criteria Guide,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850340
952,Oregon Utility Notification Center,09/21/2018 8:42 AM,In the Matter of Amendments to the Utility Notification Center Rules,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6848480
436,"Department of Consumer and Business Services, Workers' Compensation Division",09/21/2018 10:19 AM,"Workers’ compensation claims processing locations, reporting, recordkeeping; employer coverage requirements and effects of noncompliance",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850362
860,Public Utility Commission,09/21/2018 1:57 PM,Disclosures and Procedures for Broadband Internet Access Service Providers Contracting with Public Bodies.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850352
259,Department of Public Safety Standards and Training,09/24/2018 11:18 AM,Establishes sunset date to phase out the DPSST Fire Ground Leader certification.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850364
259,Department of Public Safety Standards and Training,09/24/2018 11:28 AM,New optional application offered relating to fire service affiliation and DPSST fire certification fingerprinting procedures.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850363
820,Board of Examiners for Engineering and Land Surveying,09/24/2018 12:21 PM,Amend direct supervisory reference requirement for applicants holding registration for at least 6 years; housekeeping.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850369
735,"Department of Transportation, Driver and Motor Vehicle Services Division",09/25/2018 8:47 AM,Voluntary Odometer Disclosure; ATV Odometer Disclosure,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850371
856,"Public Utility Commission, Oregon Board of Maritime Pilots",09/25/2018 12:01 PM,"New and amended definitions, emergency exceptions, and financial reporting requirements.",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850374
333,"Oregon Health Authority, Public Health Division",09/25/2018 3:14 PM,Dental Pilot Project Program,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850380
735,"Department of Transportation, Driver and Motor Vehicle Services Division",09/25/2018 3:51 PM,"Hardship Permit Provisions Including Issuing to Those Previously Eligible for Probationary Permit, Eliminating Probationary Permit",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850377
735,"Department of Transportation, Driver and Motor Vehicle Services Division",09/25/2018 3:52 PM,Disabled Person Parking Permits Including Oregon Wounded Warrior,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850376
735,"Department of Transportation, Driver and Motor Vehicle Services Division",09/25/2018 3:52 PM,Elimination of Additional Fee for Collection and Verification of Biometric Data,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850373
437,"Department of Consumer and Business Services, Oregon Occupational Safety and Health Division",09/25/2018 4:54 PM,Oregon OSHA's Standards Improvement Project for Division 1.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850383
581,Oregon Department of Education,09/26/2018 10:00 AM,Universal Screening for Risk Factors of Dyslexia and Dyslexia-Related Training,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850386
581,Oregon Department of Education,09/26/2018 10:30 AM,Minimum Requirements for Sexual Harassment Policy,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850387
581,Oregon Department of Education,09/26/2018 10:54 AM,District Fees for Interscholastic Activities for Students Who Attend a Public Charter School,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850388
350,Columbia River Gorge Commission,09/26/2018 1:05 PM,Legal Descriptions of Boundaries for Maps of the Columbia River Gorge National Scenic Area Act,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850391
581,Oregon Department of Education,09/26/2018 3:14 PM,Home Schooling for Children with Disabilities,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850396
581,Oregon Department of Education,09/26/2018 4:36 PM,Extra-Curricular School Transportation Grants,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850397
330,Department of Energy,09/26/2018 4:52 PM,Clarify and update industrial self-direction program rules relating to project applications and fees.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850344
715,Higher Education Coordinating Commission,09/26/2018 6:26 PM,Cosmetology curriculum updates to include proficiency based school standards.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850398
715,Higher Education Coordinating Commission,09/26/2018 6:54 PM,Modifications to Private Career School license fee schedule; Modification to uses of Tuition Protection Fund.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850399
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",09/27/2018 8:31 AM,Clarifying rule intent on determining consumers eligibility for Medicaid Long Term Care,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850400
411,"Department of Human Services, Aging and People with Disabilities and Developmental Disabilities",09/27/2018 8:49 AM,Rule Amendments to update and add exception process language for in-home services,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850401
333,"Oregon Health Authority, Public Health Division",09/27/2018 9:04 AM,Definition of “individual who is homeless” for providing birth certificates to homeless persons,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850382
808,Landscape Contractors Board,09/27/2018 1:30 PM,Creates a modified phase of license,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850322
808,Landscape Contractors Board,09/27/2018 3:15 PM,Increases amount of landscaping work a residential general contractor may perform,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850405
255,Board of Parole and Post-Prison Supervision,09/27/2018 4:10 PM,Procedures to petition for relief from reporting and reclassification of adult registered sex offenders.,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850406
150,Department of Revenue,09/27/2018 5:30 PM,"Interest rates, interest start dates",,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850409
436,"Department of Consumer and Business Services, Workers' Compensation Division",09/28/2018 10:26 AM,Applicability date of rules governing the Workers’ Benefit Fund assessment,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850411
581,Oregon Department of Education,09/28/2018 1:46 PM,Functional Behavioral Assessment,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850418
808,Landscape Contractors Board,09/28/2018 2:06 PM,Allows this agency to accept claims that are filed in court,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850421
581,Oregon Department of Education,09/28/2018 2:13 PM,Seismic Assessment Requirements,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850422
575,"Higher Education Coordinating Commission, Office of Student Access and Completion",09/28/2018 5:51 PM,Oregon Teacher Scholars Program Rules - Adoption of Permanent Rules,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850426
575,"Higher Education Coordinating Commission, Office of Student Access and Completion",09/28/2018 7:31 PM,Oregon Guard National State Tuition Assistance program - Adoption of Permanent Rules,,,notices,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewRedlineTRIM.action?trackChgPtId=6850427
137,Department of Justice,09/04/2018 10:03 AM,Implementing Program policies for the new child support automated system.,DOJ 19-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845810
333,"Oregon Health Authority, Public Health Division",09/04/2018 11:17 AM,WIC Participant Administration,PH 250-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845812
333,"Oregon Health Authority, Public Health Division",09/04/2018 11:20 AM,WIC Vendor and Farmer Administration,PH 251-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845813
461,"Department of Human Services, Self-Sufficiency Programs",09/04/2018 11:35 AM,Changing rules about self-sufficiency programs,SSP 27-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845814
137,Department of Justice,09/04/2018 4:00 PM,"Implementation of Origin, the automated child support automated system",DOJ 20-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845811
137,Department of Justice,09/04/2018 4:33 PM,Implementing 2017 legislation and Program policies for the new child support automated system.,DOJ 21-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845817
813,Oregon Housing and Community Services Department,09/04/2018 5:41 PM,Adopting new rules for the Publicly Supported Housing Preservation Program,OHCS 12-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845795
813,Oregon Housing and Community Services Department,09/05/2018 8:27 AM,Adopting new rules for the Publicly Supported Housing Preservation Program,OHCS 13-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845818
813,Oregon Housing and Community Services Department,09/05/2018 8:42 AM,Update the Definitions rule to include the 2018 Housing Stabilization program Operations Manual.,OHCS 14-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845819
635,Department of Fish and Wildlife,09/05/2018 2:40 PM,Modifications to the North Umpqua River of the Southwest Zone.,DFW 129-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845820
635,Department of Fish and Wildlife,09/05/2018 4:13 PM,Rescind closure of the Deschutes River mouth sanctuary.,DFW 130-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845821
461,"Department of Human Services, Self-Sufficiency Programs",09/06/2018 10:36 AM,Changing rules about APD medical programs,SSP 28-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845822
137,Department of Justice,09/06/2018 1:11 PM,Amends OAR 137-003-0015(5) to correct statutory and rule references.,DOJ 22-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845823
635,Department of Fish and Wildlife,09/06/2018 4:23 PM,Sport Pacific Halibut Summer All-Depth Season from Cape Falcon to Humbug Mountain Closing,DFW 131-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845824
635,Department of Fish and Wildlife,09/06/2018 4:28 PM,Sport Pacific Halibut Summer All-Depth Season from Cape Falcon to Humbug Mountain Closing,DFW 132-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845825
635,Department of Fish and Wildlife,09/06/2018 4:38 PM,Modification of Columbia River Treaty Indian Fall Commercial Fisheries,DFW 133-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845826
436,"Department of Consumer and Business Services, Workers' Compensation Division",09/06/2018 4:58 PM,Correction: Add missing paragraph return,WCD 15-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845827
413,"Department of Human Services, Child Welfare Programs",09/06/2018 5:12 PM,Permanently amending and adopting Child Welfare rules relating to Title IV-E eligibility determinations,CWP 103-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845585
813,Oregon Housing and Community Services Department,09/10/2018 2:50 PM,Adopts new rules to provide clarity for eligibility requirements and administration of the SHOW Program,OHCS 15-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845828
603,Department of Agriculture,09/10/2018 2:58 PM,Amends rules regarding drug residue violations and somatic cell test violations.,DOA 24-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845829
413,"Department of Human Services, Child Welfare Programs",09/10/2018 5:12 PM,Amending child safety language to reflect recent definitions updates,CWP 104-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845815
101,"Oregon Health Authority, Public Employees' Benefit Board",09/11/2018 9:05 AM,"In the matter of amending Renewal, Screening and Selection for Benefits and Vendor Contracts OARs.",PEBB 10-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845830
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",09/11/2018 9:05 AM,Changing Rule about Liens from the Department to Comply with 461-195-0305,DMAP 90-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845831
413,"Department of Human Services, Child Welfare Programs",09/11/2018 10:03 AM,Filing language corrections to CPS rules due to a filing error,CWP 105-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845832
333,"Oregon Health Authority, Public Health Division",09/11/2018 2:18 PM,Toxic Free Kids Rule Revision,PH 252-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845833
333,"Oregon Health Authority, Public Health Division",09/11/2018 2:29 PM,Toxic Free Kids Rule Revision,PH 253-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845834
350,Columbia River Gorge Commission,09/12/2018 8:36 AM,Amendments to Land Use Ordinance to be Consistent with Recent Revisions to NSA Management Plan,CRGC 1-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845835
839,Bureau of Labor and Industries,09/12/2018 8:44 AM,Amending labor contractor licensing rules to implement HB 4058 (2018).,BLI 19-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845836
635,Department of Fish and Wildlife,09/12/2018 3:21 PM,"Fall mainstem and Select Area recreational fisheries close effective September 13, 2018.",DFW 134-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845837
635,Department of Fish and Wildlife,09/12/2018 3:58 PM,Close Fall Commercial Seasons in the Select Areas of the Columbia River.,DFW 135-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845838
635,Department of Fish and Wildlife,09/12/2018 4:00 PM,Close Fall Commercial Seasons in the Select Areas of the Columbia River.,DFW 136-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845839
635,Department of Fish and Wildlife,09/12/2018 4:02 PM,Close Fall Commercial Seasons in the Select Areas of the Columbia River.,DFW 137-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845840
635,Department of Fish and Wildlife,09/12/2018 4:04 PM,Close Fall Commercial Seasons in the Select Areas of the Columbia River.,DFW 138-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845841
413,"Department of Human Services, Child Welfare Programs",09/12/2018 5:32 PM,"Removing requirement from ""Notice of Founded Disposition"" rule regarding form CF 313",CWP 106-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845842
860,Public Utility Commission,09/13/2018 8:20 AM,Minor Correction to OAR 860-039-0005 to Correct Rule Reference,PUC 5-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845843
856,"Public Utility Commission, Oregon Board of Maritime Pilots",09/13/2018 9:37 AM,Amends original licensing requirements for pilot trainees and training organizations.,BMP 23-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845844
213,Oregon Criminal Justice Commission,09/14/2018 10:04 AM,Amends Oregon Sentencing Guidelines and rules in light of 2017 and 2018 legislation,CJC 4-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845846
837,"Department of State Police, Office of State Fire Marshal",09/14/2018 10:41 AM,Amending 837-039-0006(9) due to an incorrect rule reference.,OSFM 4-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845847
837,"Department of State Police, Office of State Fire Marshal",09/14/2018 10:47 AM,Amending 837-039-0035 (1a)(2) due to an incorrect rule reference.,OSFM 5-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845848
340,Department of Environmental Quality,09/14/2018 10:51 AM,Ozone 2018 Infrastructure and Interstate Transport SIP Submissions Rulemaking,DEQ 192-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845845
413,"Department of Human Services, Child Welfare Programs",09/14/2018 12:34 PM,Correcting rule reference in division 80,CWP 107-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845849
837,"Department of State Police, Office of State Fire Marshal",09/14/2018 1:53 PM,Amending 837-039-0045 due to an incorrect rule reference.,OSFM 6-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845850
837,"Department of State Police, Office of State Fire Marshal",09/14/2018 2:00 PM,Amending 837-039-0080 due to two instances of incorrect rule references.,OSFM 7-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845851
461,"Department of Human Services, Self-Sufficiency Programs",09/17/2018 8:59 AM,Changing APD rule about asset transfer disqualifications,SSP 29-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845852
340,Department of Environmental Quality,09/17/2018 9:49 AM,Water Quality Permit Fee Rules 2018,DEQ 193-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845853
808,Landscape Contractors Board,09/17/2018 11:33 AM,Defines Improper Work,LCB 6-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845854
820,Board of Examiners for Engineering and Land Surveying,09/17/2018 12:34 PM,Amend direct supervisory reference requirement for applicants holding registration for at least 6 years.,BEELS 9-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845855
436,"Department of Consumer and Business Services, Workers' Compensation Division",09/17/2018 1:43 PM,Correction of typographical error affecting date,WCD 16-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845856
413,"Department of Human Services, Child Welfare Programs",09/17/2018 3:51 PM,Filing language corrections to CPS rules due to a filing error,CWP 108-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845858
635,Department of Fish and Wildlife,09/17/2018 4:00 PM,Controlled Hunt Preference Points in Lieu of Cash Reward for Turn In Poachers Program (TIP),DFW 139-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845857
635,Department of Fish and Wildlife,09/17/2018 4:34 PM,Daily Marine Fish Bag Limit Increased from 4 to 5 Fish per Anlger,DFW 140-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845859
331,"Oregon Health Authority, Health Licensing Office",09/18/2018 7:35 AM,Removing an unnecessary comma and fixing a statutory reference,HLO 79-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845860
331,"Oregon Health Authority, Health Licensing Office",09/18/2018 7:36 AM,Adding a missing period,HLO 80-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845861
918,"Department of Consumer and Business Services, Building Codes Division",09/18/2018 8:03 AM,Adopts the 2018 Oregon Boiler and Pressure Vessel Specialty Code,BCD 21-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845862
340,Department of Environmental Quality,09/18/2018 8:42 AM,OAR 340-045-0075 Statutory Minor Correction,DEQ 194-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845863
331,"Oregon Health Authority, Health Licensing Office",09/18/2018 10:46 AM,Extra word in sentence,HLO 81-2018,Minor Correction,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845866
860,Public Utility Commission,09/18/2018 1:40 PM,Rulemaking Related to a New Large Load Direct Access Program,PUC 6-2018,Permanent,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845865
410,"Oregon Health Authority, Health Systems Division: Medical Assistance Programs",09/18/2018 2:26 PM,Updates the Covered and Non-Covered Services According to the Prioritized List,DMAP 91-2018,Temporary,filings,Oregon,The Oregon Bulletin,https://secure.sos.state.or.us/oard/viewReceiptTRIM.action?ptId=6845867
