DEPARTMENT OF HEALTH AND HUMAN SERVICES,USA,Federal Register,ce03bf86752060fb53195168c0be7374dcbf21e4.txt,https://api.govinfo.gov/packages/FR-2019-02-15/granules/2019-02430/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-15,2019-02430,Federal,,National Institute of Environmental Health Sciences; Notice of Meetings,https://api.govinfo.gov/packages/FR-2019-02-15/granules/2019-02430/summary?api_key=
DEPARTMENT OF AGRICULTURE,USA,Federal Register,0754983a3cfaebf110e5af9e1a71830bb066b34c.txt,https://api.govinfo.gov/packages/FR-2019-02-15/granules/2019-02518/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-15,2019-02518,Federal,"This proposed rule would amend the National List of Allowed and Prohibited Substances (National List) section of the United States Department of Agriculture's (USDA's) organic regulations to implement recommendations submitted to the Secretary of Agriculture (Secretary) by the National Organic Standards Board (NOSB). This rule proposes to add elemental sulfur for use as a molluscicide in organic crop production, add polyoxin D zinc salt to control fungal diseases in organic crop production, and reclassify magnesium chloride from an allowed synthetic to an allowed nonsynthetic ingredient in organic handling.",National Organic Program; Proposed Amendments to the National List of Allowed and Prohibited Substances for April 2018 NOSB Recommendations (Crops and Handling),https://api.govinfo.gov/packages/FR-2019-02-15/granules/2019-02518/summary?api_key=
FEDERAL RESERVE SYSTEM,USA,Federal Register,1f518314d92255ed670e18357b034e288a91eb5e.txt,https://api.govinfo.gov/packages/FR-2019-02-15/granules/2019-02516/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-15,2019-02516,Federal,"On November 21, 2018, the Board of Governors of the Federal Reserve System (Board) published a final rule in the Federal Register regarding the Large Financial Institution Rating System. That document included two typographical errors in ``Appendix A--Text of Large Financial Institution Rating System'' relating to the description of the conditionally meets expectation rating. This document corrects those typographical errors.",Large Financial Institution Rating System; Regulations K and LL; Correction,https://api.govinfo.gov/packages/FR-2019-02-15/granules/2019-02516/summary?api_key=
BUREAU OF CONSUMER FINANCIAL PROTECTION,USA,Federal Register,da96efdd724b96e07ef3a31eb0637b70f05ca4ee.txt,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-01906/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-14,2019-01906,Federal,"The Bureau of Consumer Financial Protection (Bureau) is proposing to rescind certain provisions of the regulation promulgated by the Bureau in November 2017 governing Payday, Vehicle Title, and Certain High-Cost Installment Loans (2017 Final Rule or Rule). The provisions of the Rule which the Bureau proposes to rescind provide that it is an unfair and abusive practice for a lender to make a covered short-term or longer-term balloon-payment loan, including payday and vehicle title loans, without reasonably determining that consumers have the ability to repay those loans according to their terms; prescribe mandatory underwriting requirements for making the ability-to-repay determination; exempt certain loans from the mandatory underwriting requirements; and establish related definitions, reporting, and recordkeeping requirements. This proposal is related to another proposal, published separately in this issue of the Federal Register, seeking comment on whether the Bureau should delay the August 19, 2019 compliance date for these portions of the 2017 Final Rule.","Payday, Vehicle Title, and Certain High-Cost Installment Loans",https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-01906/summary?api_key=
DEPARTMENT OF THE TREASURY,USA,Federal Register,a4e10b0be5949f16125cfbfe9e4f11fe400e7546.txt,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2018-28281/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-14,2018-28281,Federal,"The Office of the Comptroller of the Currency, the Board of Governors of the Federal Reserve System, and the Federal Deposit Insurance Corporation (collectively, the agencies) are adopting a final rule to address changes to credit loss accounting under U.S. generally accepted accounting principles, including banking organizations' implementation of the current expected credit losses methodology (CECL). The final rule provides banking organizations the option to phase in over a three-year period the day-one adverse effects on regulatory capital that may result from the adoption of the new accounting standard. In addition, the final rule revises the agencies' regulatory capital rule, stress testing rules, and regulatory disclosure requirements to reflect CECL, and makes conforming amendments to other regulations that reference credit loss allowances.",Regulatory Capital Rule: Implementation and Transition of the Current Expected Credit Losses Methodology for Allowances and Related Adjustments to the Regulatory Capital Rule and Conforming Amendments to Other Regulations,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2018-28281/summary?api_key=
DEPARTMENT OF VETERANS AFFAIRS,USA,Federal Register,426c7bfff45d63438a365a668c112b98b3c761cf.txt,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02315/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-14,2019-02315,Federal,"As required by the Privacy Act of 1974, notice is hereby given that the Department of Veterans Affairs (VA) proposes to modify an existing system of records, Compensation, Pension, Education, and Vocational Rehabilitation and Employment Records--VA'' (58VA21/22/28).",Privacy Act of 1974; System of Records,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02315/summary?api_key=
DEPARTMENT OF JUSTICE,USA,Federal Register,6b3422c239259504199d846cbf8efa64bea18497.txt,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02302/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-14,2019-02302,Federal,,Notice Pursuant to The National Cooperative Research and Production Act of 1993-Petroleum Environmental Research Forum,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02302/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,5a5d82a266b7446bbf1afb1f892895e1646c39ad.txt,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02385/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-14,2019-02385,Federal,"This notice announces EPA's order for the cancellations and amendments to terminate uses, voluntarily requested by the registrants and accepted by the Agency, of the products listed in Table 1 and Table 2 of Unit II, pursuant to the Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA). This cancellation order follows an October 17, 2018 Federal Register Notice of Receipt of Requests from the registrants listed in Table 3 of Unit II to voluntarily cancel and amend to terminate uses of these product registrations. In the October 17, 2018 notice, EPA indicated that it would issue an order implementing the cancellations and amendments to terminate uses, unless the Agency received substantive comments within the 30-day comment period that would merit its further review of these requests, or unless the registrants withdrew their requests. The Agency did not receive any comments on the notice. Further, the registrants did not withdraw their requests. Accordingly, EPA hereby issues in this notice a cancellation order granting the requested cancellations and amendments to terminate uses. Any distribution, sale, or use of the products subject to this cancellation order is permitted only in accordance with the terms of this order, including any existing stocks provisions.",Product Cancellation Order for Certain Pesticide Registrations and Amendments To Terminate Uses,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02385/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,0e8ebba5e452cbe66edc2ce374dc47abc6af1724.txt,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02354/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-14,2019-02354,Federal,"EPA has granted emergency exemptions under the Federal Insecticide, Fungicide, and Rodenticide Act (FIFRA) for use of pesticides as listed in this notice. The exemptions were granted during the period of April 1, 2018 to September 30, 2018 to control unforeseen pest outbreaks.",Pesticide Emergency Exemptions; Agency Decisions and State and Federal Agency Crisis Declarations,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02354/summary?api_key=
DEPARTMENT OF AGRICULTURE,USA,Federal Register,11acb43d5f2ea98b2c7e3d69de254363a891b734.txt,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02360/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-14,2019-02360,Federal,"In preparing to implement the Agriculture Improvement Act of 2018 (commonly referred to as the 2018 Farm Bill), we are hosting a listening session for initial public input about new programs and changes to existing programs implemented by the Farm Service Agency (FSA), the Natural Resources Conservation Service (NRCS), and the Risk Management Agency (RMA). The 2018 Farm Bill is intended to provide support, certainty, and stability to our Nation's farmers, ranchers, and land stewards by enhancing farm support programs, improving crop insurance, maintaining disaster programs, and promoting and supporting voluntary conservation. We invite you to participate in the listening session. The listening session is open to the public.",2018 Farm Bill Implementation Listening Session,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02360/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,897b2c72106c21d6451f9d5b6f0e8968a54500c3.txt,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02348/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-14,2019-02348,Federal,"The Environmental Protection Agency (EPA) Region 9 is issuing a Notice of Intent to Delete the soil portion of the Beckman Instruments Superfund Site (Site) located in Porterville, California, from the National Priorities List (NPL) and requests public comments on this proposed action. The NPL, promulgated pursuant to section 105 of the Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA) of 1980, as amended, is an appendix of the National Oil and Hazardous Substances Pollution Contingency Plan (NCP). EPA and the State of California, through the Department of Toxic Substances Control (DTSC), have determined that all appropriate soil response actions under CERCLA have been completed. However, this deletion does not preclude future actions under Superfund. This partial deletion pertains to the soil; a map indicating the area to be deleted is in the public docket. The groundwater will remain on the NPL and is not being considered for deletion as part of this action. Maintenance, monitoring, and five-year reviews of the groundwater remedy will continue until all drinking water standards have been met.",National Oil and Hazardous Substances Pollution Contingency Plan; National Priorities List: Partial Deletion of the Beckman Instruments Superfund Site,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02348/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,c703e781b58e3e05186bd876e806ddeb480a2ada.txt,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02202/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-14,2019-02202,Federal,"On December 13, 2018, the Environmental Protection Agency (EPA) sent the State of Connecticut a letter approving Connecticut's request for delegation of the New Source Performance Standards for Stationary Combustion Turbines. To inform regulated facilities and the public of the EPA's approval of Connecticut's request for delegation of authority to implement and enforce these standards, the EPA is making available a copy of EPA's letter to Connecticut through this document.",Notice of Delegation of Authority; Connecticut; New Source Performance Standards for Stationary Combustion Turbines,https://api.govinfo.gov/packages/FR-2019-02-14/granules/2019-02202/summary?api_key=
DEPARTMENT OF ENERGY,USA,Federal Register,ad965e9fa280cf5e86d9f03b9ddbe4b4d825961f.txt,https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02144/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-13,2019-02144,Federal,,"Corpus Christi Liquefaction Stage III, LLC; Corpus Christi Liquefaction, LLC; and Cheniere Corpus Christi Pipeline, L.P.; Notice of Revised Schedule for Environmental Review of the Stage 3 Project",https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02144/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,7ebe56c7e50a3c8981ffe1efbbadac535670fddd.txt,https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02217/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-13,2019-02217,Federal,"The Environmental Protection Agency (EPA) proposes to approve state implementation plan (SIP) revisions submitted by the Idaho Department of Environmental Quality (IDEQ) on November 2, 2018. The submitted revisions update Idaho's rules by removing obsolete and duplicative requirements as well as requirements less stringent than applicable Federal regulations.","Air Plan Approval; ID, Kraft Pulp Mill Rule Revisions",https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02217/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,62e997c692ca1c5b4cba907acdf548691a5223e5.txt,https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02215/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-13,2019-02215,Federal,"The Environmental Protection Agency (EPA) is proposing to approve a March 6, 2018 request by the Indiana Department of Environmental Management (IDEM) to revise its State Implementation Plan (SIP) for the United States Steel-Gary Works (US Steel-Gary Works). The proposed SIP revision pertains to the removal of all sulfur dioxide (SO<INF>2</INF>) emission limitations for the facility's coke plant, which permanently ceased operation on March 30, 2015, and other administrative changes. The SIP revision provides for an overall reduction in SO<INF>2</INF> emissions at the facility.",Air Plan Approval; Indiana; Proposed Approval of a Revision to the Sulfur Dioxide State Implementation Plan for United States Steel-Gary Works,https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02215/summary?api_key=
DEPARTMENT OF COMMERCE,USA,Federal Register,401af4ee588fa1d485d52a16ed2823241bdbca57.txt,https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02190/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-13,2019-02190,Federal,"NMFS transfers 26 metric tons (mt) of Atlantic bluefin tuna (BFT) quota from the Reserve category to the General category January 2019 period (from January 1 through March 31, 2019, or until the available subquota for this period is reached, whichever comes first). This action is based on consideration of the regulatory determination criteria regarding inseason adjustments and applies to Atlantic tunas General category (commercial) permitted vessels and Highly Migratory Species (HMS) Charter/Headboat category permitted vessels with a commercial sale endorsement when fishing commercially for BFT.",Atlantic Highly Migratory Species; Atlantic Bluefin Tuna Fisheries; General Category Fishery,https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02190/summary?api_key=
DEPARTMENT OF COMMERCE,USA,Federal Register,9a24170777e02c697a582bf306330256774db022.txt,https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02193/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-13,2019-02193,Federal,"NMFS implements an accountability measure (AM) through this temporary rule for commercial harvest of king mackerel in the southern zone of the Gulf of Mexico (Gulf) exclusive economic zone (EEZ) using run-around gillnet gear. NMFS has determined that the commercial annual catch limit (equivalent to the commercial quota) for king mackerel using run-around gillnet gear in the southern zone of the Gulf EEZ has been reached. Therefore, NMFS closes the southern zone to commercial king mackerel fishing using run-around gillnet gear in the Gulf EEZ on February 8, 2019. This closure is necessary to protect the Gulf king mackerel resource.",Coastal Migratory Pelagic Resources of the Gulf of Mexico and Atlantic Region; 2018-2019 Commercial Run-Around Gillnet Closure for King Mackerel,https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02193/summary?api_key=
DEPARTMENT OF AGRICULTURE,USA,Federal Register,fedcf276376f5ef06592403c2902094d78c53241.txt,https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02106/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-13,2019-02106,Federal,"On June 24, 2010, the Rural Utilities Service (RUS) issued a final rule to establish the regulation for the Special Evaluation Assistance for Rural Communities and Households Program (SEARCH) as authorized by Section 306(a) of the Consolidated Farm and Rural Development Act (CONACT). Following final implementation of this final rule, RUS found that the wording for the definition of a rural area is inconsistent with the statute. This document corrects the final regulation.",Special Evaluation Assistance for Rural Communities and Households Program (SEARCH),https://api.govinfo.gov/packages/FR-2019-02-13/granules/2019-02106/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,df0f2dcbdce2a20c22ebf927822ad19bb3cf80a0.txt,https://api.govinfo.gov/packages/FR-2019-02-12/granules/2019-01923/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-12,2019-01923,Federal,"This notice announces that the Environmental Protection Agency (EPA) issued Federal operating permits to the Mille Lacs Band Corporate Commission for Grand Casino Mille Lacs. The source is in Onamia, Minnesota on lands held in trust for the Mille Lacs Band of Ojibwe Indians. The permits authorize a change in the testing requirements for oxides of nitrogen (NO<INF>X</INF>) emissions from three existing diesel-fired internal combustion engines. These engines are used for peak load management as well as for backup power. NO<INF>x</INF> performance test requirements are increased in frequency from once in five years to once in three years.",Notice of Issuance of Grand Casino Mille Lacs PSD and Part 71 Permits,https://api.govinfo.gov/packages/FR-2019-02-12/granules/2019-01923/summary?api_key=
ENVIRONMENTAL PROTECTION AGENCY,USA,Federal Register,705860c271df230f4f73325c218021fd018a7910.txt,https://api.govinfo.gov/packages/FR-2019-02-12/granules/2019-02070/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-12,2019-02070,Federal,The Environmental Protection Agency (EPA) is providing notice of the availability of data on emission allowance allocations to certain units under the Cross-State Air Pollution Rule (CSAPR) trading programs. EPA has completed final calculations for the second round of allocations of allowances from the CSAPR new unit set-asides (NUSAs) for the 2018 control periods and has posted spreadsheets containing the calculations on EPA's website. EPA has also completed calculations for allocations of the remaining 2018 NUSA allowances to existing units and has posted spreadsheets containing those calculations on EPA's website as well.,Allocations of Cross-State Air Pollution Rule Allowances From New Unit Set-Asides for 2018 Control Periods,https://api.govinfo.gov/packages/FR-2019-02-12/granules/2019-02070/summary?api_key=
DEPARTMENT OF ENERGY,USA,Federal Register,abdb0382da4a71b5eb8070e76792c2f0b6549ceb.txt,https://api.govinfo.gov/packages/FR-2019-02-12/granules/2019-02085/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-12,2019-02085,Federal,,"Ochoco Irrigation District; Notice of Intent To File License Application, Filing of Pre-Application Document, Approving Use of the Traditional Licensing Process",https://api.govinfo.gov/packages/FR-2019-02-12/granules/2019-02085/summary?api_key=
DEPARTMENT OF COMMERCE,USA,Federal Register,46dc7aadea85d7ea806aa296988d39c2eb29d502.txt,https://api.govinfo.gov/packages/FR-2019-02-12/granules/2019-01929/htm?api_key=stD22vRTT0I2MUAFJNi0299a8nvz45dSlFuYd00i,Regulatory Information,2019-02-12,2019-01929,Federal,"NMFS finalizes specifications for the 2019 Mid-Atlantic blueline tilefish fishery north of the North Carolina/Virginia border and projects specifications for 2020 and 2021. This action is necessary to establish allowable harvest levels and other management measures to prevent overfishing while allowing optimum yield, consistent with the Magnuson-Stevens Fishery Conservation and Management Act and the Tilefish Fishery Management Plan. It is also intended to inform the public of these specifications for the 2019 fishing year and projected specifications for 2020-2021.",Fisheries of the Northeastern United States; Mid-Atlantic Blueline Tilefish Fishery; 2019 and Projected 2020-2021 Specifications,https://api.govinfo.gov/packages/FR-2019-02-12/granules/2019-01929/summary?api_key=
