Issuing body	Published	File url	Ref	Summary	Title	file name
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	09/10/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA2B5.PDF	Decreto Ejecutivo	El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida El Chino, Porción Uno, ubicado en el cantón Garita Palmera, Municipio de San Francisco Menéndez, Departamento de Ahuachapán, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.	DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE EL CHINO, PORCION UNO, DEL MUNICIPIO DE SAN FRANCISCO MENENDEZ, DEPARTAMENTO DE AHUACHAPAN	ec9a879fab3feafd293f96ef18d72b397213cb85
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	09/10/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA2AB.PDF	Decreto Ejecutivo	El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida San Antonio Silva, ubicado en el cantón San Antonio Silva, Municipio y Departamento de San Miguel, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.	DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE SAN ANTONIO SILVA, DEL MUNICIPIO DE SAN MIGUEL, DEPARTAMENTO DE SAN MIGUEL	af94df55d4eb63bd84935b52fa8bde76e3691d94
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	10/10/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA2C6.PDF	Decreto Ejecutivo	El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida Tahuapa, conformada por SEIS PORCIONES, ubicado en el Cantón La Danta, Municipio y Departamento de Ahuachapán, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.	DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE TAHUAPA, DEL MUNICIPIO DE AHUACHAPAN, DEPARTAMENTO DE AHUACHAPAN	ae8b0c2cd30770a885aa2fa1f7a6cfe0bb5eca5a
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	14/10/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA340.PDF	Decreto Ejecutivo	El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida El Carmen Bosque Nueve ubicado en el cantón El Zapote, Municipio de Caluco, Departamento de Sonsonate, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.	DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE EL CARMEN BOSQUE NUEVE, DEL MUNICIPIO DE CALUCO, DEPARTAMENTO DE SONSONATE	a04e366984617f53f00654e39133faa9f5409068
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	14/10/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA33D.PDF	Decreto Ejecutivo	El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida Copinolapa, ubicado en el cantón Copinolapa, Municipio de Sensuntepeque, Departamento de Cabañas, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.	DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE COPINOLAPA DEL MUNICIPIO DE SENSUNTEPEQUE, DEPARTAMENTO DE CABAÑAS	6d1588e5a7d517b3503f66a3fcd37e7454c0adf0
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	15/10/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA346.PDF	Decreto Ejecutivo	El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida San Jerónimo, ubicado en el cantón San Jerónimo, municipio de Candelaria de la Frontera, Departamento de Santa Ana, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros.	DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE SAN JERONIMO DEL MUNICIPIO DE CANDELARIA DE LA FRONTERA, DEPARTAMENTO DE SANTA ANA	0f82f9aef69aaff535026f8459d3c7060ee69dc1
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	21/10/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA499.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""EL TECOMATAL"", ubicada en el cantón El Tecomatal, jurisdicción de Estanzuelas, Departamento de Usulután, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE EL TECOMATAL, MUNICIPIO DE ESTANZUELAS, DEPARTAMENTO DE USULUTAN	94256fd1e95362301fb16704b276586bf1c71f57
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	21/10/2014	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2014/10/AA48E.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""EL TAMARINDO"", ubicado en el cantón El Tecomatal, jurisdicción de Estanzuelas, Departamento de Usulután, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE AREA NATURAL PROTEGIDA EL INMUEBLE EL TAMARINDO, MUNICIPIO DE ESTANZUELAS, DEPARTAMENTO DE USULUTAN	87374827838f8577fa7c066a8a3596b2a3e06864
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	15/08/2012	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2012/08/98D89.PDF	Decreto Municipal-Chirilagua	El objetivo principal de esta Ordenanza es el de evitar la contaminación de la población por causa de las aguas residuales y negras, por medio de un manejo adecuado del alcantarillado y la planta de tratamiento de dichas aguas.	ORDENANZA REGULADORA DE LA PRESTACION DE SERVICIOS DE ALCANTARILLADO Y PLANTA DE TRATAMIENTO AGUAS RESIDUALES DE LA PLAYA EL CUCO, COLONIA FLORES DE ANDALUCIA DEL MUNICIPIO DE LA CIUDAD DE CHIRILAGUA, DEPARTAMENTO DE SAN MIGUEL	c85c73b5e8950f8d6de62c3eb07b9b443553edd9
ORGANO LEGISLATIVO	02/10/2013	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2013/10/A2AA3.PDF	Decreto Legislativo	La presente ley tiene por objeto contribuir a enfrentar la crisis generada por la caída de los precios del café y los daños por el fuerte rebrote de la roya del cafeto; asimismo, seguir contribuyendo a la reactivación del sector cafetalero, mediante la suspensión de embargos a productores de café con créditos provenientes del Fideicomiso Ambiental para la Conservación del Bosque Cafetalero (FICAFE) y del Fondo de Emergencia para el Café (FEC), que hubieren cumplido con parte total o parcial de las cuotas correspondientes hasta el año 2012.	LEY ESPECIAL TRANSITORIA PARA LA SUSPENSION DE EMBARGOS POR CREDITOS OTORGADOS AL SECTOR PRODUCTOR DEL CAFE	1cd36a07cb429ffad5a58004e14155df93876f6d
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	08/02/2016	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2016/02/B644B.PDF	Decreto Ejecutivo	Por medio del presente Decreto se crea el Consejo Nacional de Sustentabilidad Ambiental y Vulnerabilidad, como una instancia consultiva, de diálogo y concertación en materia de sustentabilidad ambiental y vulnerabilidad. Su composición será amplia, plural, permanente y con autonomía para el cumplimiento de sus objetivos y atribuciones.	DECRETO POR MEDIO DEL CUAL SE CREA EL CONSEJO NACIONAL DE SUSTENTABILIDAD AMBIENTAL Y VULNERABILIDAD	18d1b46d5a79f45b7e03b9b0833370024846fc5a
INSTITUCIONES AUTÓNOMAS (Alcaldía Municipal)	12/04/2016	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2016/04/B7CFF.PDF	Decreto Municipal-San Pablo Tacachico	La presente Ordenanza tiene como objeto la regulación y reglamentación en la planificación, ejecución, operación, mantenimiento y administración de los proyectos de agua potable y saneamiento básico, así como la prestación del servicio de agua potable en forma eficiente y separadamente de las demás actividades Municipales en el Municipio de San Pablo Tacachico, Departamento de La Libertad.	ORDENANZA REGULADORA PARA LA GESTION INTEGRAL DEL AGUA Y LA PRESTACION DEL SERVICIO DEL AGUA POTABLE Y SANEAMIENTO BASICO EN COLONIA LAS DELICIAS Y CASERIO BARILLAS, EN EL MUNICIPIO DE SAN PABLO TACACHICO, DEPARTAMENTO DE LA LIBERTAD	8eff7193afb050df61d54503f05eac1228769533
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	14/09/2016	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2016/09/BBFC0.PDF	Decreto Ejecutivo	Por medio del presente Decreto se crea el Comité Nacional de Humedales, el que también podrá denominarse Comité Nacional de Ramsar, el cual funcionará como un mecanismo para difundir el enfoque de la Convención Relativa a los Humedales de Importancia Internacional Especialmente como Hábitat de Aves Acuáticas; además, podrá funcionar como un organismo consultivo asesor, cuya finalidad es procurar el desarrollo sostenible de los humedales de El Salvador.	DECRETO POR MEDIO DEL CUAL SE CREA EL COMITE NACIONAL DE HUMEDALES	deb5bebc0ddad2139fa869020d543f63be52967f
ORGANO EJECUTIVO (Ministerio de Relaciones Exteriores)	24/03/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/03/C0B78.PDF	Acuerdo Ejecutivo	El presente Reglamento como objetivo el contribuir con la formación académica y la investigación científica en diversos ámbitos tales como la diplomacia, las relaciones internacionales y el derecho internacional, la historia nacional e internacional, entre otros; para lo cual pone a disposición de los usuarios en general, las colecciones susceptibles de ser consultadas. Los usuarios, deberán cumplir con las condiciones y requisitos para la utilización de los servicios bibliotecarios, establecidos en el mismo.	REGLAMENTO DE LA BIBLIOTECA DR. JOSE GUSTAVO GUERRERO	375de0bc74184f72db3d82682cf28be298260320
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	08/11/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/11/C69A6.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""ISLA EL MAGUEYAL"", ubicada en la Bahía de Jiquilisco, municipio de Jiquilisco, departamento de Usulután, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA ISLA EL MAGUEYAL, MUNICIPIO DE JIQUILISCO, DEPARTAMENTO DE USULUTAN	a048b3c834b4a337390f9d1cc402d7e3b1467585
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	08/11/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/11/C6979.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""ISLA PUERTO SAN JUAN"", ubicada en la Bahía de Jiquilisco, municipio de Jiquilisco, departamento de Usulután, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA ISLA PUERTO SAN JUAN, MUNICIPIO DE JIQUILISCO, DEPARTAMENTO DE USULUTAN	4e8e7381a9abde80c97aff76478f9ba671119464
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	08/11/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/11/C696C.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""ISLA EL GUAYABO"", ubicada en la Bahía de Jiquilisco, municipio de Jiquilisco, departamento de Usulután, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA ISLA EL GUAYABO, MUNICIPIO DE JIQUILISCO, DEPARTAMENTO DE USULUTAN	6e6645780a71d46bf7d3965e9e09f68468fecead
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	08/11/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/11/C6963.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""ISLA PUNTA EL LIMÓN"", ubicada en la Bahía de Jiquilisco, municipio de Jiquilisco, departamento de Usulután, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA ISLA PUNTA EL LIMON, MUNICIPIO DE JIQUILISCO, DEPARTAMENTO DE USULUTAN	aab778640235863c6fabbe766b96d746527d75e0
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	08/11/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/11/C6954.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""ISLA EL CARTON"", ubicada en la Bahía de Jiquilisco, Municipio de Jiquilisco, departamento de Usulután, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA ISLA EL CARTON, MUNICIPIO DE JIQUILISCO, DEPARTAMENTO DE USULUTAN	fd7d8ffc866a20cbc0630b609386ea27ff202afa
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	08/11/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/11/C6938.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""ISLA EL CEMENTERIO DOS"", ubicada en la Bahía de Jiquilisco, municipio de Jiquilisco, departamento de Usulután, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA ISLA EL CEMENTERIO DOS, MUNICIPIO DE JIQUILISCO, DEPARTAMENTO DE USULUTAN	a612bebacc654ca44af013a3b08f9b90da09a651
ORGANO EJECUTIVO (Ministerio de Medio Ambiente y Recursos Naturales)	08/11/2017	https://www.jurisprudencia.gob.sv/DocumentosBoveda/D/2/2010-2019/2017/11/C692D.PDF	Decreto Ejecutivo	"El presente Decreto tiene como objetivos conservar los ecosistemas naturales del Área Natural Protegida ""ISLA EL ESPINO CUATRO"", ubicada en la Bahía de Jiquilisco, municipio de Jucuarán, departamento de Usulután, asegurando el mantenimiento de las especies silvestres nativas, especialmente aquellas consideradas como endémicas o amenazadas, junto con los procesos ecológicos y evolutivos que tienen lugar en estos ecosistemas; así como también asegurar el flujo constante para éstas y las siguientes generaciones, de los servicios ambientales suministrados por los ecosistemas naturales del Área Natural Protegida, entre otros."	DECRETO POR MEDIO DEL CUAL SE ESTABLECE COMO AREA NATURAL PROTEGIDA ISLA EL ESPINO CUATRO, MUNICIPIO DE JUCUARAN, DEPARTAMENTO DE USULUTAN	d7324d4d9df228f67ea5e34da420d42ce4db4bc7
