0,1,2
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","El Programa incentivará a las/los sujetos agrarios a establecer sistemas productivos agroforestales, el cual combina la producción de los cultivos tradicionales en conjunto con árboles frutícolas y maderables, y el sistema de Milpa Intercalada entre Árboles Frutales (MIAF), con lo que se contribuirá a generar empleos, se incentivará la autosuficiencia alimentaria, se mejorarán los ingresos de las y los pobladores y se recuperará la cobertura forestal de un millón setenta y cinco mil hectáreas en el país","Direct payment (PES), Credit, Technical assistance"
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Apoyos económicos para fomentar el bienestar de las/los sujetos de derecho otorgados,Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Apoyos en especie para la producción agroforestal otorgados,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Acompañamiento técnico para la implementación de sistemas agroforestales otorgado,Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","La/el sujeto de derecho, que a mes vencido haya cumplido con su programa de trabajo, recibirá un apoyo económico de $5,000.00 (Cinco mil pesos 00/100 M.N.) de los cuales, $500",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",00 (Quinientos pesos 00/100 M.N.) se destinará como ahorro de la/el sujeto de derecho,Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","de esta cantidad, $250 (Doscientos cincuenta pesos 00/100 deberán ser destinados a una inversión de ahorro en una institución financiera, y $250 (Doscientos cincuenta pesos 00/100 M",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",) deberán ser destinados al Fondo de Bienestar,Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Las/los sujetos de derecho y/o las CAC, podrán recibir un apoyo económico adicional, cuyos montos serán establecidos por el Comité Técnico del Programa, y de conformidad con la disponibilidad presupuestal del Programa Sembrando Vida, el cual podrá ser utilizado para lo siguiente",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Dotación de semillas, material vegetativo, plantas e insumos",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Servicios de logística, transportación, distribución, almacenamiento, custodia y/o vigilancia de los apoyos en especie del Programa destinados a los Viveros Comunitarios, Biofábricas y/o las unidades de producción",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Equipamiento y material para la operación de viveros y biofábricas,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Herramientas y equipo agrícola,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Sistemas de captación y almacenamiento de agua,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",sistemas de extracción de agua del subsuelo,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","materiales y equipos para el abastecimiento de agua, y sistemas de riego",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Plantas y semillas,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","La/el sujeto de derecho podrá recibir en especie semillas, además de plantas producidas en los viveros con los que el Programa tenga acuerdos, convenios o contratos, así como las mismas que el Programa produzca en viveros propios",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Las plantas se utilizarán para implementar el programa agroforestal en su unidad productiva, de acuerdo a la vocación productiva de la región y al sistema agroferestal diseñado conjuntamente entre la/el sujeto de derecho y el técnico productivo",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","La cantidad y tipo de plantas, producidas en los viveros comunitarios, así como el período de siembra, estarán definidas en función al sistema agroforestal y en los planes de trabajo elaborados por las/los Técnicos(as) en conjunto con las/los sujetos de derecho",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","La/el sujeto de derecho podrá recibir en especie una parte o la totalidad de los insumos para desarrollar el programa agroforestal en su unidad de producción, los cuales podrán variar de acuerdo al tipo de cultivo a establecerse en cada territorio, considerando la vocación productiva de la región, la pertinencia cultural y la perspectiva de género",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Herramientas,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",La/el sujeto de derecho podrá recibir en especie un paquete de herramientas para realizar las actividades en su unidad de producción,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","El otorgamiento de los paquetes de herramientas considerará la perspectiva de género e intercultural, con el fin de garantizar su apropiación de acuerdo al contexto y de tratarse de mujeres y hombres",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Vivero Comunitario,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","La/el sujeto de derecho podrá recibir en especie materiales, insumos, equipos, herramientas, para la instalación y operación de viveros comunitarios",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Se establecerán viveros comunitarios en cada una de las localidades seleccionadas, los cuales el Programa podrá apoyar para que total o parcialmente cuenten con los materiales e insumos necesarios para producir aproximadamente 50 mil plantas al año",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Los viveros serán atendidos por las/los sujetos de derecho con el acompañamiento de las/los Técnicos(as) Productivos,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Los viveros, preferentemente, deberán estar ubicados en terrenos con disponibilidad de agua, con vías de comunicación de fácil acceso, en pendientes menores o iguales al 5% (en pendientes mayores debe prestarse a la construcción de terrazas) y con proximidad a las unidades de producción",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Todos las/los sujetos de derecho, en tanto formen parte del programa, atenderán los viveros comunitarios ubicados en sus territorios, en los cuales, se producirá una parte de las plantas para sus unidades de producción",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Si las/los sujetos de derecho salen del Programa, no tendrán derecho a la producción de los viveros, su participación es parte integral del Programa y territorialmente se organizarán para dedicar los tiempos de atención y participación correspondientes",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Para asegurar la producción de planta en los viveros comunitarios, atendiendo a las necesidades específicas de cada uno de ellos, se implementarán y adquirirán total o parcialmente",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",sistemas de captación y almacenamiento de agua,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",sistemas de extracción de agua del subsuelo,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",materiales y equipos para el abastecimiento de agua,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Los sistemas, materiales y equipos arriba señalados, podrán ser adquiridos, o bien, ser elaborados e implementados por las/los sujetos de derecho responsables del vivero, de acuerdo a la mecánica establecida en el presente apartado",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Estos viveros serán atendidos por los miembros de las CAC, donde podrán incidir una o más CAC, toda vez que consideren",Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Cercanía a la ubicación estratégica del vivero,Supplies
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Acompañamiento social y técnico para la implementación del Programa,Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","El acompañamiento social para el desarrollo comunitario y el acompañamiento técnico para el fortalecimiento de las/los sujetos agrarios y la implementación de los sistemas agroforestales, será
realizado por las/los técnicos(as) sociales y productivos(as), mediante el diálogo de saberes basado en el intercambio de conocimientos y experiencias",Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","aprendiendo de la sabiduría de las gentes que han convivido con la naturaleza, especialmente con su territorio específico, por muchas generaciones",Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",y propiciando el diálogo intergeneracional,Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Las Comunidades de Aprendizaje Campesino (CAC's) constituyen el sujeto colectivo del Programa que se integra por un promedio de 25 sujetos de derecho para la generación de conocimiento a través
del intercambio de experiencias y la formación",Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Sus principales finalidades son: analizar las condiciones productivas y diseñar los sistemas agroforestales,Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","promover y fortalecer la organización comunitaria, las finanzas sociales y la cultura del ahorro para regenerar el tejido social",Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","impulsar la cooperación que contribuya a lograr la seguridad alimentaria, generar riqueza, diversificar ingresos y restaurar el medio ambiente",Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Cada CAC se reunirá al menos dos veces al mes y estará acompañada por un(a) Técnico(a) Social, un(a) Técnico(a) Productivo y podrá contar con al menos 3 jóvenes becarios (as), y serán un espacio privilegiado para favorecer el acompañamiento y capacitación",Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Las/los técnicos(as) Sociales coordinarán las acciones que fortalezcan el tejido social y la solución de los problemas comunitarios, detectados en las CAC",Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Las/los técnicos(as) Productivos(as) coordinarán la asesoría para implementar los sistemas MIAF y SAF, en diálogo con las/los sujetos de derecho, en los aspectos técnico-productivos",Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Las/los integrantes de cada CAC, podrán operar un vivero comunitario y/o una biofábrica de acuerdo a la disponibilidad presupuestal y sin necesidad del cumplimiento de algún requisito adicional a los previstos en el numeral 3.4 de las presentes Reglas de Operación",Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Como una medida para incorporar la paridad de género en el Programa, se tomarán las previsiones necesarias para promover que 30% del personal técnico que se contrate a partir de la publicación de las presentes Reglas de Operación, esté compuesto por mujeres",Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Se permite que las/los integrantes del CAC realicen trabajos colectivos en las unidades de producción, ya que de esa forma se promueve la organización comunitaria",Technical assistance
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","El Programa tiene contemplado un apoyo económico a mes vencido de $5,000 (Cinco mil pesos 00/100 M.N.) a sujetos de derecho, utilizando medios electrónicos de pagos y a través de una Red de
Distribución Autorizada, plasmada en convenio con el Banco de Bienestar, así como con otras instituciones financieras públicas o privadas que la Subsecretaría considere conveniente incluir",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Los apoyos económicos mensuales para las/los sujetos de derecho, consistentes en $5,000 (Cinco mil pesos 00/100 M.N.), se distribuirán de la siguiente manera",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","$4,500.00 (Cuatro mil quinientos pesos 00/100 M",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",") quedarán depositados en tarjetas de débito a nombre de cada uno de las/los sujetos de derecho y se invertirán en las acciones que la/el sujeto de
derecho considere convenientes para el beneficio de su familia y su parcela, es decir, serán de libre disposición",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",$500.00 (Quinientos pesos 00/100 M,Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",") son un ahorro programado, el mecanismo consiste en que este recurso se retiene automáticamente y se transfiere electrónicamente a una cuenta de inversión",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",Este monto se divide de la siguiente manera,Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",$250.00 (Doscientos cincuenta pesos 00/100 M.N.) para fortalecer el patrimonio familiar,Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Este ahorro podrá ser retirado por las/los sujetos de derecho hasta que se cumplan los primeros tres años de haber ingresado al Programa, periodo en el cual los recursos podrán manejarse como una inversión en alguna institución financiera que brinde rendimientos favorables",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",00 (Doscientos cincuenta pesos 00/100 M,Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",") que serán destinados para la creación de un ""Fondo de Bienestar""",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Este fondo de inversión, se hará bajo la modalidad de un fideicomiso privado, con la finalidad de apoyar a los productores, mediante capital de riesgo, a consolidar sus procesos productivos a mediano y largo plazo, según se establezca en el contrato y reglas de operación del Fideicomiso",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","El Fondo de Bienestar es un ente independiente del Programa Sembrando Vida, el instrumento jurídico del Fondo es un fideicomiso privado, el cual contará con un contrato y reglas de operación propias, y podrá conformar un sistema de fondos que permita recibir inversiones de otras instituciones nacionales o extranjeras que brinden a las/los Sujetos de Derecho beneficios adicionales relacionados con el Programa",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Asimismo, con los rendimientos del Fondo se cubrirán los gastos de administración del mismo, de igual forma se podrán financiar otros beneficios en favor de las/los sujetos de derecho",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020","Para las/los sujetos de derecho que salgan del Programa por incumplimiento o por fallecimiento, el dinero del ahorro será devuelto de acuerdo a lo que establezca la institución financiera y el Comité Técnico del Programa",Direct payment (PES)
"2020 ACUERDO por el que se emiten las Reglas de Operación del Programa Sembrando Vida, para el ejercicio fiscal 2020",El Programa podrá absorber los costos asociados a la constitución de cooperativas u otros tipos de figuras jurídicas asociativas integradas por las/los sujetos de derecho,Direct payment (PES)
Sembrando Vida Brochure,"Los productores recibiran 5 mil pesos mensuales por trabajar su tierra de los cuales, 500 se destinarán a una caja de ahorro que ellos mismos administrarán y, con el tiempo, serán sujetos de crédito",Direct payment (PES)
2020 AVANCES Y RETOS DEL PROGRAMA CRÉDITO GANADERO A LA PALABRA,PROGRAMA CRÉDITO GANADERO A LA PALABRA (PCGP),Supplies
2020 AVANCES Y RETOS DEL PROGRAMA CRÉDITO GANADERO A LA PALABRA,"El programa tiene como objetivo incrementar la productividad del pequeño productor pecuario(propietarios de hasta 35 unidades animal o 200 colmenas), mediante la entrega de apoyos en especie a través de cuatro componentes",Supplies
2020 AVANCES Y RETOS DEL PROGRAMA CRÉDITO GANADERO A LA PALABRA,"Repoblamiento de hato pecuario, que entrega hasta 10 vientres y 1 semental bovino o su equivalencia en otras especies (ovino/caprino, porcino) o hasta 200 colmenas",Supplies
2020 AVANCES Y RETOS DEL PROGRAMA CRÉDITO GANADERO A LA PALABRA,Equipamiento y obras de infraestructura pecuaria,Supplies
2020 AVANCES Y RETOS DEL PROGRAMA CRÉDITO GANADERO A LA PALABRA,Complementos alimenticios,Supplies
2020 AVANCES Y RETOS DEL PROGRAMA CRÉDITO GANADERO A LA PALABRA,"Servicios técnicos, mediante los cuales se otorga acompañamiento técnico a los beneficiarios del programa (asesorías en sanidad, reproducción, alimentación) y servicios veterinarios para los
semovientes de su Unidad de Producción Pecuaria",Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,"Incrementar la productividad del pequeño productor pecuario, mediante la entrega de apoyos en especie y acciones de capitalización productiva integral sustentable",Supplies
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,"Incrementar los inventarios de bovinos, ovinos, porcinos, caprinos y abejas",Supplies
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,Apoyar el equipamiento y obras de infraestructura pecuaria,Supplies
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,"Incrementar la disponibilidad de alimento, suplementaciones minerales proteinizadas",Supplies
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,y sacáridas para el consumo de especies pecuarias,Supplies
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,Brindar servicios técnicos,Technical assistance
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,El Programa operará con cuatro componentes,Supplies
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,Componente de repoblamiento de hato pecuario,Supplies
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,TIPO DE APOYO,Supplies
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,CONCEPTO DE APOYO,Supplies
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,APOYO MÁXIMO,Supplies
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,Componente de equipamiento y obras de infraestructura pecuaria,Direct payment 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,Las solicitudes para repoblamiento del hato pecuario podrán ser complementadas con los siguientes tipos de apoyo,Direct payment 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,TIPO DE APOYO,Direct payment 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,CONCEPTO DE APOYO,Direct payment 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,APOYO MÁXIMO,Direct payment 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,"Equipamiento y obras de infraestructura pecuaria para bovinos, ovinos, caprinos y porcinos",Direct payment 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,"Equipamiento y obras de infraestructura para el almacenamiento, captación y conducción de agua",Direct payment 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,"Bebederos, comederos, sombreaderos, prensa ganadera (shute) y báscula",Direct payment 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,Cercado con postería de larga vida útil,Direct payment 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,"Para persona física: en función de la infraestructura disponible en la UPP, sin rebasar $100,000.00",Direct payment 
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,Rehabilitación de praderas y producción de forrajes,Direct payment (PES)
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,"Insumos como: semilla, fertilizante, herbicidas contenidos en un paquete tecnológico",Direct payment (PES)
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,"El paquete tecnológico correspondiente deberá ser autorizado por la CGG a solicitud de la Instancia Ejecutora, validando los paquetes por una instancia de investigación o educación superior",Direct payment (PES)
2019 ACUERDO por el que se emiten los Lineamientos de Operación del Programa Crédito Ganadero a la Palabra,Para persona física: Hasta diez hectáreas por UPP,Direct payment (PES)
